id	Sex	Length	Diameter	Height	Whole weight	Shucked weight	Viscera weight	Shell weight	Rings
160	F	0.57	0.45	0.18	0.9079999999999999	0.4015	0.217	0.255	9
163	F	0.54	0.385	0.14	0.7655	0.3265	0.11599999999999999	0.2365	10
164	F	0.68	0.51	0.2	1.6075	0.7140000000000001	0.33899999999999997	0.4705	11
165	M	0.555	0.44	0.15	0.755	0.307	0.1525	0.26	12
166	M	0.635	0.5	0.18	1.2915	0.594	0.2695	0.37	9
167	F	0.75	0.565	0.215	1.9380000000000002	0.7735	0.4825	0.575	11
168	F	0.495	0.41	0.125	0.7555	0.3355	0.129	0.214	9
171	M	0.595	0.475	0.165	1.213	0.621	0.2435	0.27399999999999997	9
172	M	0.475	0.37	0.125	0.5095	0.2165	0.1125	0.165	9
174	I	0.42	0.325	0.115	0.354	0.1625	0.064	0.105	8
176	I	0.375	0.28	0.09	0.215	0.084	0.06	0.055	6
178	M	0.66	0.535	0.2	1.791	0.733	0.318	0.54	15
180	I	0.225	0.165	0.055	0.059000000000000004	0.027000000000000003	0.0125	0.015	4
181	F	0.5	0.4	0.15	0.8085	0.273	0.11199999999999999	0.295	13
183	M	0.67	0.5	0.2	1.2690000000000001	0.5760000000000001	0.2985	0.35100000000000003	11
184	I	0.33	0.24	0.075	0.163	0.0745	0.033	0.048	6
186	F	0.68	0.515	0.175	1.6185	0.5125	0.409	0.62	12
193	M	0.525	0.4	0.13	0.8295	0.2405	0.1825	0.275	11
197	M	0.555	0.42	0.145	0.8695	0.3075	0.2575	0.25	14
198	M	0.57	0.47	0.155	1.186	0.6355	0.2315	0.27699999999999997	10
199	F	0.49	0.38	0.13	0.539	0.22899999999999998	0.1355	0.165	12
201	F	0.49	0.365	0.13	0.6835	0.165	0.1315	0.205	21
205	M	0.59	0.47	0.18	1.187	0.5985	0.22699999999999998	0.31	9
207	M	0.65	0.52	0.175	1.2655	0.615	0.2775	0.336	9
208	I	0.41	0.305	0.095	0.2625	0.1	0.0515	0.09	6
209	I	0.45	0.35	0.14	0.474	0.21	0.109	0.1275	16
210	F	0.695	0.55	0.185	1.679	0.805	0.4015	0.3965	10
212	M	0.625	0.49	0.165	1.205	0.5175	0.3105	0.3465	10
213	M	0.35	0.255	0.08	0.1915	0.08	0.0385	0.063	9
216	F	0.66	0.495	0.21	1.548	0.7240000000000001	0.3525	0.3925	10
221	I	0.34	0.25	0.075	0.1765	0.0785	0.0405	0.05	7
222	M	0.515	0.435	0.145	0.8815	0.292	0.20600000000000002	0.255	10
225	I	0.38	0.285	0.095	0.243	0.0895	0.0665	0.075	7
230	M	0.5	0.42	0.125	0.62	0.255	0.15	0.205	11
231	F	0.705	0.555	0.195	1.7525	0.7105	0.4215	0.516	12
233	M	0.515	0.35	0.155	0.9225	0.4185	0.198	0.273	9
236	M	0.53	0.405	0.125	0.6515	0.2715	0.1605	0.18600000000000003	7
237	I	0.405	0.305	0.09	0.2825	0.114	0.0575	0.095	7
239	M	0.58	0.46	0.15	1.0165	0.491	0.221	0.265	9
243	M	0.69	0.55	0.195	1.777	0.769	0.38	0.4305	11
246	F	0.755	0.625	0.21	2.505	1.1965	0.513	0.6785	11
247	F	0.505	0.39	0.125	0.5445	0.24600000000000002	0.15	0.1405	7
250	M	0.63	0.51	0.175	1.3415	0.6575	0.262	0.375	10
255	F	0.675	0.545	0.195	1.7345	0.6845	0.3695	0.605	20
256	M	0.565	0.435	0.185	1.032	0.354	0.2045	0.31	20
258	M	0.455	0.355	0.13	0.515	0.2	0.1275	0.175	11
260	F	0.615	0.525	0.155	1.0385	0.42700000000000005	0.2315	0.345	11
262	F	0.575	0.46	0.16	1.103	0.5379999999999999	0.221	0.249	9
265	I	0.25	0.18	0.06	0.073	0.027999999999999997	0.017	0.0225	5
266	M	0.555	0.425	0.15	0.873	0.4625	0.1845	0.1965	9
267	I	0.36	0.28	0.105	0.19899999999999998	0.0695	0.045	0.08	9
270	I	0.515	0.39	0.125	0.5705	0.23800000000000002	0.1265	0.185	8
273	I	0.45	0.335	0.105	0.36200000000000004	0.1575	0.0795	0.1095	7
274	F	0.65	0.565	0.2	1.6645	0.753	0.36700000000000005	0.43	12
275	F	0.56	0.44	0.14	0.9285	0.3825	0.188	0.3	11
279	M	0.65	0.505	0.18	1.469	0.7115	0.3335	0.38	9
280	M	0.615	0.47	0.155	1.2	0.5085	0.32	0.292	8
281	M	0.6	0.46	0.155	0.6655	0.285	0.149	0.26899999999999996	11
282	F	0.58	0.435	0.15	0.8390000000000001	0.3485	0.207	0.192	7
284	I	0.51	0.455	0.135	0.6855	0.2875	0.154	0.2035	9
287	I	0.52	0.41	0.14	0.5995	0.242	0.1375	0.182	11
288	I	0.65	0.515	0.16	1.1625	0.495	0.203	0.33	17
291	I	0.39	0.295	0.1	0.27899999999999997	0.1155	0.059000000000000004	0.08	7
292	F	0.585	0.42	0.155	0.9845	0.442	0.2155	0.2875	13
293	M	0.6	0.465	0.165	1.038	0.4975	0.2205	0.251	9
297	M	0.57	0.46	0.17	0.9035	0.4075	0.1935	0.214	7
301	F	0.615	0.5	0.165	1.1765	0.488	0.244	0.345	17
307	I	0.485	0.355	0.105	0.498	0.2175	0.096	0.1525	9
309	F	0.38	0.325	0.11	0.3105	0.12	0.07400000000000001	0.105	10
310	I	0.255	0.19	0.07	0.0815	0.027999999999999997	0.016	0.031	5
312	M	0.67	0.52	0.19	1.6385	0.8115	0.369	0.391	9
313	M	0.35	0.275	0.11	0.2925	0.1225	0.0635	0.0905	8
315	F	0.545	0.44	0.175	0.7745	0.2985	0.1875	0.265	11
319	I	0.37	0.285	0.095	0.226	0.1135	0.0515	0.0675	8
321	F	0.605	0.5	0.185	1.1185	0.469	0.2585	0.335	9
323	I	0.355	0.27	0.105	0.271	0.1425	0.0525	0.0735	9
324	M	0.455	0.35	0.105	0.41600000000000004	0.1625	0.09699999999999999	0.145	11
325	F	0.645	0.51	0.18	1.6195	0.7815	0.322	0.4675	12
327	M	0.5	0.39	0.135	0.6595	0.3145	0.1535	0.1565	6
329	M	0.605	0.475	0.175	1.2009999999999998	0.5395	0.275	0.309	10
331	F	0.56	0.455	0.125	0.943	0.344	0.129	0.375	21
334	I	0.56	0.425	0.135	0.8205	0.3715	0.185	0.23600000000000002	9
335	M	0.245	0.18	0.065	0.0635	0.0245	0.0135	0.02	4
336	I	0.44	0.34	0.105	0.344	0.12300000000000001	0.081	0.125	8
337	I	0.535	0.45	0.155	0.8075	0.3655	0.14800000000000002	0.2595	10
339	F	0.645	0.52	0.17	1.197	0.526	0.2925	0.317	11
341	M	0.605	0.465	0.165	1.056	0.4215	0.2475	0.34	13
342	I	0.4	0.29	0.1	0.258	0.10400000000000001	0.059000000000000004	0.0815	7
343	F	0.67	0.535	0.185	1.597	0.6275	0.35	0.47	21
344	F	0.565	0.44	0.16	0.915	0.354	0.1935	0.32	12
348	M	0.705	0.565	0.515	2.21	1.1075	0.4865	0.512	10
350	M	0.585	0.455	0.225	1.055	0.3815	0.221	0.365	15
354	I	0.47	0.385	0.13	0.5870000000000001	0.264	0.11699999999999999	0.174	8
355	M	0.59	0.47	0.16	1.206	0.479	0.2425	0.309	8
356	I	0.575	0.455	0.16	0.9895	0.495	0.195	0.24600000000000002	9
358	M	0.595	0.48	0.185	1.1785	0.526	0.2975	0.314	10
362	I	0.46	0.355	0.11	0.436	0.1975	0.096	0.125	8
363	M	0.495	0.415	0.165	0.7485	0.264	0.134	0.285	13
364	M	0.155	0.115	0.025	0.024	0.009000000000000001	0.005	0.0075	5
365	I	0.51	0.4	0.145	0.5775	0.231	0.14300000000000002	0.177	9
367	M	0.66	0.525	0.2	1.489	0.6065	0.3795	0.42100000000000004	10
370	F	0.63	0.49	0.225	1.3359999999999999	0.6805	0.259	0.3245	10
371	M	0.475	0.36	0.14	0.5135	0.24100000000000002	0.1045	0.155	8
372	I	0.39	0.31	0.1	0.302	0.11599999999999999	0.064	0.115	11
373	F	0.65	0.525	0.175	1.4225	0.61	0.2995	0.445	20
374	I	0.4	0.315	0.09	0.3245	0.151	0.073	0.08800000000000001	8
375	I	0.435	0.34	0.12	0.396	0.1775	0.081	0.125	8
377	M	0.46	0.375	0.135	0.4935	0.18600000000000003	0.0845	0.17	12
382	I	0.335	0.25	0.075	0.18600000000000003	0.0945	0.038	0.0445	7
387	F	0.62	0.5	0.175	1.107	0.4895	0.24	0.34299999999999997	11
389	F	0.63	0.475	0.15	1.072	0.433	0.2975	0.315	8
395	F	0.72	0.575	0.18	1.6705	0.732	0.3605	0.501	12
397	I	0.475	0.38	0.12	0.441	0.1785	0.0885	0.1505	8
400	I	0.55	0.45	0.14	0.753	0.3445	0.1325	0.24	8
401	F	0.49	0.37	0.105	0.5265	0.249	0.1005	0.14800000000000002	7
403	I	0.4	0.295	0.095	0.252	0.1105	0.0575	0.066	6
404	F	0.625	0.49	0.175	1.1075	0.4485	0.2165	0.3595	8
407	I	0.415	0.31	0.11	0.2965	0.12300000000000001	0.057	0.0995	10
409	M	0.255	0.18	0.065	0.079	0.034	0.013999999999999999	0.025	5
412	M	0.6	0.45	0.145	0.877	0.4325	0.155	0.24	9
416	M	0.67	0.54	0.175	1.482	0.7390000000000001	0.2925	0.365	10
417	F	0.595	0.44	0.135	0.9640000000000001	0.5005	0.1715	0.2575	10
419	M	0.51	0.395	0.125	0.5805	0.244	0.1335	0.188	11
420	I	0.43	0.34	0.125	0.384	0.1375	0.061	0.146	14
421	M	0.515	0.4	0.14	0.6335	0.28800000000000003	0.145	0.168	9
423	M	0.51	0.405	0.15	0.7035	0.34700000000000003	0.134	0.1885	8
424	I	0.3	0.23	0.075	0.15	0.0605	0.042	0.045	5
428	I	0.21	0.15	0.045	0.04	0.0135	0.008	0.0105	4
429	I	0.54	0.415	0.11	0.619	0.2755	0.15	0.1765	10
430	I	0.485	0.365	0.14	0.4475	0.1895	0.0925	0.2305	8
431	I	0.375	0.28	0.1	0.2565	0.1165	0.0585	0.0725	12
432	M	0.71	0.555	0.175	2.14	1.2455	0.3725	0.434	11
433	F	0.59	0.455	0.165	1.161	0.38	0.2455	0.28	12
434	M	0.645	0.5	0.18	1.4609999999999999	0.5985	0.2425	0.439	11
435	M	0.465	0.405	0.135	0.7775	0.436	0.1715	0.1455	10
437	M	0.38	0.235	0.1	0.258	0.1055	0.054000000000000006	0.08	7
439	M	0.7	0.535	0.16	1.7255	0.63	0.2635	0.54	19
441	I	0.55	0.42	0.115	0.6679999999999999	0.2925	0.13699999999999998	0.209	11
442	M	0.535	0.42	0.165	0.9195	0.3355	0.1985	0.26	16
445	M	0.76	0.605	0.215	2.173	0.8009999999999999	0.4915	0.6459999999999999	13
447	I	0.52	0.405	0.14	0.5775	0.2	0.145	0.179	11
448	I	0.425	0.31	0.09	0.301	0.1385	0.065	0.08	7
449	M	0.66	0.535	0.19	1.5905	0.6425	0.297	0.5175	9
450	I	0.575	0.45	0.15	0.858	0.449	0.166	0.215	10
451	I	0.45	0.34	0.095	0.3245	0.1385	0.064	0.105	8
460	F	0.46	0.425	0.155	0.746	0.3005	0.152	0.24	8
462	M	0.615	0.53	0.17	1.12	0.5775	0.2095	0.28600000000000003	9
464	I	0.55	0.415	0.15	0.7915	0.3535	0.17600000000000002	0.23600000000000002	10
466	M	0.59	0.455	0.155	0.8855	0.38799999999999996	0.188	0.275	10
469	F	0.49	0.39	0.135	0.59	0.215	0.125	0.1845	12
470	I	0.465	0.355	0.12	0.5805	0.255	0.0915	0.184	8
471	M	0.535	0.42	0.125	0.764	0.312	0.1505	0.265	11
475	F	0.45	0.35	0.145	0.5425	0.1765	0.12300000000000001	0.175	13
479	I	0.425	0.34	0.1	0.382	0.16399999999999998	0.096	0.1	6
484	F	0.64	0.5	0.18	1.4995	0.593	0.314	0.431	11
490	M	0.39	0.285	0.095	0.271	0.11	0.06	0.08	8
492	M	0.66	0.53	0.17	1.3905	0.5905	0.212	0.45299999999999996	15
494	F	0.655	0.54	0.215	1.5555	0.695	0.29600000000000004	0.444	11
495	I	0.235	0.175	0.055	0.067	0.027000000000000003	0.0125	0.018000000000000002	6
497	M	0.64	0.525	0.2	1.3765	0.44	0.3075	0.47	16
498	M	0.335	0.235	0.085	0.1545	0.066	0.0345	0.045	6
504	I	0.51	0.395	0.155	0.5395	0.2465	0.1085	0.16699999999999998	8
505	I	0.46	0.365	0.11	0.4495	0.1755	0.102	0.15	8
506	M	0.7	0.565	0.18	1.751	0.895	0.3355	0.446	9
508	F	0.6	0.485	0.145	0.7759999999999999	0.3545	0.1585	0.239	9
509	M	0.565	0.455	0.17	0.9065	0.342	0.156	0.32	18
510	F	0.56	0.44	0.155	0.6405	0.336	0.1765	0.245	8
511	M	0.47	0.35	0.1	0.4775	0.1885	0.0885	0.175	8
512	I	0.25	0.185	0.065	0.0685	0.0295	0.013999999999999999	0.0225	5
513	M	0.665	0.515	0.165	1.3855	0.621	0.302	0.3445	8
515	I	0.52	0.405	0.14	0.6765	0.2865	0.146	0.205	15
523	F	0.575	0.445	0.14	0.941	0.3845	0.252	0.285	9
524	F	0.44	0.34	0.105	0.364	0.14800000000000002	0.0805	0.1175	8
525	M	0.485	0.395	0.14	0.6295	0.2285	0.127	0.225	14
532	F	0.58	0.425	0.155	0.873	0.3615	0.249	0.239	10
537	M	0.63	0.455	0.15	1.1315	0.48100000000000004	0.2745	0.305	9
539	M	0.43	0.35	0.11	0.406	0.1675	0.081	0.135	10
540	F	0.58	0.46	0.12	0.9935	0.4625	0.2385	0.28	11
542	F	0.545	0.42	0.175	0.754	0.256	0.1775	0.275	10
544	M	0.65	0.51	0.155	1.4069999999999998	0.7215	0.298	0.335	9
549	M	0.34	0.275	0.09	0.2065	0.0725	0.043	0.07	10
550	F	0.585	0.45	0.16	0.9045	0.405	0.2215	0.2335	8
551	F	0.62	0.48	0.23	1.0935	0.40299999999999997	0.245	0.355	14
552	I	0.27	0.2	0.07	0.1	0.034	0.0245	0.035	5
554	F	0.455	0.365	0.115	0.4305	0.184	0.10800000000000001	0.1245	8
556	M	0.585	0.47	0.145	0.9565	0.4025	0.2365	0.265	9
560	F	0.585	0.465	0.165	0.9355	0.4035	0.2275	0.259	9
561	M	0.545	0.41	0.14	0.625	0.223	0.16	0.235	13
571	I	0.375	0.28	0.08	0.2025	0.0825	0.048	0.065	8
573	F	0.6	0.46	0.155	0.9735	0.42700000000000005	0.2045	0.3	8
577	I	0.53	0.415	0.13	0.6940000000000001	0.3905	0.111	0.16699999999999998	9
580	I	0.43	0.325	0.09	0.425	0.217	0.087	0.095	7
583	I	0.425	0.34	0.1	0.371	0.15	0.0865	0.115	8
584	I	0.415	0.325	0.115	0.3285	0.1405	0.051	0.106	12
586	M	0.62	0.485	0.155	1.0490000000000002	0.462	0.231	0.25	10
591	F	0.66	0.565	0.195	1.7605	0.6920000000000001	0.3265	0.5	16
592	M	0.505	0.44	0.14	0.8275	0.3415	0.1855	0.239	8
593	M	0.58	0.465	0.15	0.9065	0.371	0.1965	0.29	8
594	F	0.49	0.385	0.15	0.7865	0.24100000000000002	0.14	0.24	23
595	M	0.6	0.475	0.175	1.11	0.5105	0.256	0.285	9
602	I	0.455	0.435	0.11	0.4265	0.195	0.09	0.1205	8
603	I	0.275	0.215	0.075	0.1155	0.0485	0.028999999999999998	0.035	7
604	F	0.53	0.425	0.13	0.7170000000000001	0.2115	0.166	0.255	13
605	I	0.62	0.485	0.18	1.1540000000000001	0.4935	0.256	0.315	12
606	M	0.57	0.435	0.145	0.9055	0.3925	0.2355	0.275	10
607	F	0.585	0.475	0.185	0.8575	0.3465	0.1785	0.275	12
608	I	0.445	0.345	0.13	0.4075	0.1365	0.0645	0.18	11
611	I	0.445	0.35	0.13	0.4195	0.1695	0.0945	0.1195	7
612	I	0.46	0.36	0.14	0.447	0.161	0.087	0.16	9
613	I	0.495	0.375	0.14	0.494	0.18100000000000002	0.0975	0.191	8
614	I	0.295	0.22	0.085	0.1285	0.0585	0.027000000000000003	0.0365	5
617	I	0.485	0.38	0.12	0.4725	0.2075	0.1075	0.147	6
622	F	0.45	0.35	0.125	0.4435	0.185	0.09	0.145	11
623	F	0.675	0.525	0.17	1.7109999999999999	0.8365	0.35200000000000004	0.475	9
624	M	0.205	0.155	0.045	0.0425	0.017	0.0055	0.0155	7
625	I	0.425	0.31	0.095	0.3505	0.1645	0.071	0.1	8
626	F	0.4	0.32	0.11	0.353	0.1405	0.0985	0.1	8
627	F	0.65	0.5	0.17	1.4045	0.6940000000000001	0.318	0.3235	11
630	I	0.525	0.4	0.13	0.6445	0.345	0.1285	0.2	8
631	M	0.365	0.295	0.08	0.2555	0.09699999999999999	0.043	0.1	7
632	I	0.405	0.31	0.065	0.3205	0.1575	0.066	0.08800000000000001	6
633	F	0.595	0.465	0.15	1.0255	0.41200000000000003	0.2745	0.289	11
637	I	0.545	0.43	0.14	0.772	0.289	0.19	0.2615	8
640	M	0.425	0.33	0.13	0.4405	0.152	0.0935	0.155	9
642	F	0.65	0.495	0.155	1.337	0.615	0.3195	0.335	9
644	M	0.5	0.4	0.125	0.5975	0.27	0.1275	0.166	9
645	F	0.635	0.515	0.19	1.3715	0.5065	0.305	0.45	10
646	M	0.6	0.45	0.195	1.34	0.617	0.3255	0.3605	10
647	F	0.545	0.41	0.115	0.6765	0.29	0.158	0.22	9
649	I	0.42	0.305	0.09	0.32799999999999996	0.168	0.0615	0.08199999999999999	6
650	F	0.62	0.48	0.17	1.1045	0.535	0.25	0.287	10
656	F	0.575	0.43	0.155	0.7955	0.3485	0.1925	0.22	9
658	I	0.385	0.28	0.1	0.2755	0.1305	0.061	0.0725	8
659	F	0.57	0.455	0.15	1.107	0.54	0.255	0.27	8
660	F	0.515	0.42	0.135	0.6295	0.2815	0.127	0.215	9
662	I	0.21	0.15	0.05	0.042	0.0175	0.0125	0.015	4
664	F	0.67	0.54	0.165	1.5015	0.518	0.358	0.505	14
665	F	0.53	0.425	0.13	0.7585	0.325	0.19699999999999998	0.205	8
669	I	0.28	0.215	0.07	0.124	0.063	0.0215	0.03	6
671	F	0.595	0.465	0.145	0.7955	0.3425	0.1795	0.2425	10
673	F	0.62	0.5	0.15	1.2930000000000001	0.596	0.3135	0.354	10
679	M	0.63	0.48	0.15	1.1785	0.5185	0.248	0.3235	8
680	I	0.63	0.475	0.145	1.0605	0.5165	0.2195	0.28	10
681	M	0.61	0.49	0.16	1.112	0.465	0.228	0.341	10
691	M	0.625	0.5	0.14	1.0959999999999999	0.5445	0.2165	0.295	10
693	I	0.485	0.38	0.125	0.5215	0.2215	0.11800000000000001	0.16	8
694	I	0.23	0.17	0.05	0.057	0.026000000000000002	0.013000000000000001	0.016	5
695	I	0.315	0.24	0.085	0.1715	0.071	0.0345	0.0535	7
696	F	0.555	0.42	0.11	0.9309999999999999	0.4445	0.171	0.225	8
697	I	0.11	0.09	0.03	0.008	0.0025	0.002	0.003	3
698	M	0.525	0.4	0.17	0.7305	0.27899999999999997	0.2055	0.195	11
699	M	0.675	0.515	0.145	1.265	0.6025	0.299	0.325	10
705	F	0.6	0.465	0.16	1.133	0.466	0.2885	0.298	11
707	M	0.48	0.365	0.12	0.6015	0.312	0.11699999999999999	0.14	7
709	M	0.36	0.295	0.105	0.24100000000000002	0.0865	0.053	0.095	8
714	I	0.42	0.305	0.1	0.3415	0.1645	0.0775	0.086	7
718	I	0.375	0.28	0.085	0.2145	0.0855	0.0485	0.07200000000000001	7
721	M	0.64	0.49	0.155	1.1285	0.47700000000000004	0.26899999999999996	0.34	9
724	I	0.37	0.27	0.095	0.2175	0.09699999999999999	0.046	0.065	6
726	I	0.535	0.45	0.17	0.7809999999999999	0.3055	0.1555	0.295	11
729	M	0.62	0.47	0.145	1.0865	0.511	0.2715	0.2565	10
730	I	0.385	0.285	0.085	0.244	0.1215	0.0445	0.068	8
732	M	0.27	0.195	0.07	0.106	0.0465	0.018000000000000002	0.036000000000000004	7
733	I	0.34	0.26	0.085	0.1885	0.0815	0.0335	0.06	6
734	F	0.605	0.475	0.175	1.0759999999999998	0.46299999999999997	0.2195	0.335	9
736	M	0.575	0.44	0.185	1.025	0.5075	0.2245	0.2485	10
737	M	0.55	0.45	0.175	1.0985	0.3765	0.215	0.4	14
738	F	0.58	0.45	0.15	0.92	0.39299999999999996	0.212	0.2895	9
739	F	0.695	0.56	0.22	1.834	0.8455	0.42200000000000004	0.455	11
740	F	0.55	0.415	0.135	0.8145	0.42700000000000005	0.1855	0.175	8
741	M	0.465	0.36	0.105	0.431	0.172	0.107	0.175	9
742	F	0.565	0.455	0.13	1.058	0.439	0.2645	0.3	10
747	I	0.51	0.405	0.125	0.6795	0.3465	0.1395	0.182	8
749	I	0.55	0.465	0.15	0.9359999999999999	0.48100000000000004	0.174	0.2435	9
750	I	0.43	0.34	0.105	0.4405	0.2385	0.0745	0.1075	6
753	M	0.66	0.495	0.195	1.6275	0.594	0.3595	0.485	10
754	M	0.53	0.415	0.12	0.706	0.3355	0.1635	0.1345	9
755	F	0.515	0.425	0.14	0.7659999999999999	0.304	0.1725	0.255	14
756	I	0.245	0.18	0.065	0.071	0.03	0.013000000000000001	0.0215	4
759	M	0.565	0.425	0.1	0.7145	0.3055	0.166	0.18	12
760	I	0.515	0.39	0.14	0.5555	0.2	0.1135	0.2235	12
761	F	0.615	0.515	0.17	1.14	0.4305	0.2245	0.42	16
763	I	0.46	0.34	0.1	0.386	0.1805	0.0875	0.0965	8
765	F	0.64	0.5	0.17	1.12	0.4955	0.2645	0.32	12
767	F	0.535	0.435	0.16	0.8105	0.3155	0.1795	0.24	10
769	M	0.505	0.39	0.105	0.6555	0.2595	0.18	0.19	11
770	F	0.67	0.525	0.195	1.42	0.573	0.368	0.3905	10
771	M	0.745	0.565	0.215	1.931	0.8959999999999999	0.4585	0.5	11
772	M	0.57	0.435	0.17	0.873	0.382	0.183	0.2705	10
