age,job_1,job_2,job_3,job_4,job_5,job_6,job_7,job_8,job_9,job_10,job_11,job_12,marital_1,marital_2,marital_3,education_1,education_2,education_3,education_4,housing_1,housing_2,loan_1,loan_2,contact_1,contact_2,contact_3,day,month,duration,campaign,previous,poutcome_1,poutcome_2,poutcome_3,poutcome_4,y
36,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,8,4.0,0.02638888888888889,1,0,1,0,0,0,0
33,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,9,2.0,0.013055555555555556,2,4,0,0,0,1,0
52,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,24,2.0,0.06722222222222222,2,0,1,0,0,0,1
30,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,6,5.0,0.02638888888888889,2,0,1,0,0,0,0
41,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,8,5.0,0.02,1,1,0,1,0,0,0
29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,18,5.0,0.14888888888888888,2,4,0,1,0,0,1
56,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,17,7.0,0.16944444444444445,2,0,1,0,0,0,0
48,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,12,5.0,0.0125,1,0,1,0,0,0,0
30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,27,2.0,0.042777777777777776,1,0,1,0,0,0,0
60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,22,7.0,0.035277777777777776,4,0,1,0,0,0,0
32,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,26,5.0,0.10222222222222223,6,0,1,0,0,0,0
31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,18,11.0,0.035833333333333335,2,0,1,0,0,0,0
29,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,28,1.0,0.2425,3,0,1,0,0,0,0
33,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,6,9.0,0.0030555555555555557,1,5,0,0,0,1,0
31,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,8,5.0,0.055,1,0,1,0,0,0,0
39,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,2,2.0,0.050555555555555555,1,0,1,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,14,5.0,0.04638888888888889,3,0,1,0,0,0,0
51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,19,6.0,0.16472222222222221,1,0,1,0,0,0,0
39,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,20,8.0,0.06638888888888889,2,0,1,0,0,0,0
40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,12,6.0,0.020277777777777777,1,0,1,0,0,0,0
69,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,28,9.0,0.06583333333333333,2,0,1,0,0,0,0
32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,17,7.0,0.19055555555555556,1,0,1,0,0,0,0
30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,13,5.0,0.012222222222222223,1,1,0,1,0,0,0
56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,30,7.0,0.3497222222222222,6,0,1,0,0,0,0
32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,18,7.0,0.06277777777777778,1,0,1,0,0,0,0
49,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,13,8.0,0.0725,1,1,0,0,1,0,1
45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,13,5.0,0.011944444444444445,1,0,1,0,0,0,0
45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,13,5.0,0.03305555555555555,3,3,0,1,0,0,0
55,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,8,5.0,0.034166666666666665,3,0,1,0,0,0,0
77,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,15,2.0,0.03111111111111111,5,15,0,0,1,0,0
30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,21,8.0,0.03944444444444444,2,0,1,0,0,0,0
56,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,27,8.0,0.06638888888888889,5,0,1,0,0,0,0
54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,11,8.0,0.015555555555555555,4,0,1,0,0,0,0
32,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,20,11.0,0.09777777777777778,1,0,1,0,0,0,0
43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,9,5.0,0.027777777777777776,1,0,1,0,0,0,0
48,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,31,7.0,0.0375,3,0,1,0,0,0,0
50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,20,6.0,0.009722222222222222,2,0,1,0,0,0,0
50,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,18,11.0,0.12083333333333333,1,0,1,0,0,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,23,5.0,0.04083333333333333,14,0,1,0,0,0,0
39,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,18,11.0,0.013055555555555556,3,0,1,0,0,0,0
36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,18,6.0,0.09861111111111111,1,0,1,0,0,0,0
30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,12,8.0,0.02,4,0,1,0,0,0,0
43,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,23,5.0,0.03638888888888889,1,0,1,0,0,0,0
37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,11,6.0,0.05527777777777778,1,0,1,0,0,0,0
53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,17,11.0,0.050555555555555555,3,0,1,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,3,2.0,0.11638888888888889,3,0,1,0,0,0,0
30,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,28,5.0,0.14888888888888888,7,0,1,0,0,0,0
53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,31,7.0,0.0075,2,0,1,0,0,0,0
45,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,30,7.0,0.04638888888888889,2,0,1,0,0,0,0
51,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,7,5.0,0.1322222222222222,1,1,0,0,0,1,1
35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,9,6.0,0.02666666666666667,10,0,1,0,0,0,0
53,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,16,6.0,0.06944444444444445,1,0,1,0,0,0,0
33,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,12,5.0,0.024722222222222222,3,0,1,0,0,0,0
49,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,11,5.0,0.06027777777777778,3,4,0,1,0,0,0
36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,4,2.0,0.03805555555555556,2,0,1,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,7.0,0.08083333333333333,2,0,1,0,0,0,0
36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,27,5.0,0.025,2,0,1,0,0,0,0
34,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,11,8.0,0.025833333333333333,2,0,1,0,0,0,0
37,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,22,7.0,0.12166666666666667,3,0,1,0,0,0,0
47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,19,6.0,0.03916666666666667,1,0,1,0,0,0,0
54,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,20,8.0,0.023055555555555555,5,0,1,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,14,5.0,0.06055555555555556,2,0,1,0,0,0,0
36,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,30,3.0,0.03833333333333333,8,0,1,0,0,0,0
47,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,6,6.0,0.12777777777777777,8,0,1,0,0,0,0
34,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,13,5.0,0.05444444444444444,3,0,1,0,0,0,0
38,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,28,10.0,0.042777777777777776,1,0,1,0,0,0,1
35,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,21,7.0,0.26,4,0,1,0,0,0,0
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,17,4.0,0.050555555555555555,2,0,1,0,0,0,0
42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,13,5.0,0.051944444444444446,2,0,1,0,0,0,0
29,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,30,4.0,0.17916666666666667,1,0,1,0,0,0,1
56,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,9,7.0,0.06555555555555556,4,0,1,0,0,0,0
46,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,20,8.0,0.04777777777777778,2,0,1,0,0,0,0
34,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,3,8.0,0.03,2,7,0,1,0,0,0
56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5,5.0,0.043611111111111114,2,0,1,0,0,0,0
60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,4,6.0,0.06527777777777778,1,0,1,0,0,0,0
25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,18,5.0,0.19305555555555556,2,0,1,0,0,0,0
29,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,8,5.0,0.16833333333333333,3,0,1,0,0,0,1
37,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,21,5.0,0.1338888888888889,1,0,1,0,0,0,0
33,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,29,8.0,0.12805555555555556,2,0,1,0,0,0,0
35,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,29,8.0,0.025555555555555557,9,0,1,0,0,0,0
46,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,8,5.0,0.08527777777777777,1,0,1,0,0,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,20,11.0,0.2863888888888889,6,0,1,0,0,0,0
34,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,29,1.0,0.1063888888888889,2,1,0,0,0,1,0
31,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,26,8.0,0.06138888888888889,2,0,1,0,0,0,0
39,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,3,4.0,0.056666666666666664,2,12,0,1,0,0,0
32,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,21,11.0,0.04138888888888889,1,0,1,0,0,0,0
37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,13,5.0,0.014722222222222222,1,0,1,0,0,0,0
41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,14,5.0,0.036944444444444446,1,0,1,0,0,0,0
39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,24,7.0,0.1738888888888889,5,0,1,0,0,0,0
28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,28,5.0,0.07,2,0,1,0,0,0,0
34,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,18,5.0,0.01638888888888889,2,0,1,0,0,0,0
34,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,14,8.0,0.1438888888888889,2,0,1,0,0,0,1
32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,4,7.0,0.0275,1,0,1,0,0,0,0
70,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,12,3.0,0.01611111111111111,4,0,1,0,0,0,0
30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,14,6.0,0.059722222222222225,1,17,0,0,0,1,0
52,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,27,10.0,0.043611111111111114,1,0,1,0,0,0,0
51,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,8,7.0,0.051944444444444446,2,0,1,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,28,1.0,0.08722222222222223,1,0,1,0,0,0,0
39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,3,4.0,0.0525,2,0,1,0,0,0,0
44,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,27,8.0,0.03833333333333333,3,0,1,0,0,0,0
58,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,12,8.0,0.03777777777777778,5,0,1,0,0,0,0
34,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,8,8.0,0.028888888888888888,4,0,1,0,0,0,0
38,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,7,8.0,0.07194444444444445,3,0,1,0,0,0,0
30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,3,6.0,0.05,3,0,1,0,0,0,0
48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,18,11.0,0.021944444444444444,1,8,0,1,0,0,0
58,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,5,2.0,0.005277777777777778,8,0,1,0,0,0,0
34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,5,5.0,0.051111111111111114,1,6,0,1,0,0,0
31,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,20,11.0,0.25305555555555553,4,0,1,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,25,5.0,0.04527777777777778,1,0,1,0,0,0,0
57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,6.0,0.014722222222222222,2,0,1,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,22,10.0,0.043611111111111114,1,0,1,0,0,0,1
32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,18,5.0,0.05333333333333334,1,1,0,1,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,18,5.0,0.042222222222222223,7,1,0,0,0,1,0
39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,20,4.0,0.017777777777777778,3,1,0,1,0,0,0
41,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,18,6.0,0.42777777777777776,1,0,1,0,0,0,1
47,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,26,8.0,0.03861111111111111,4,0,1,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,4,6.0,0.06583333333333333,1,0,1,0,0,0,0
26,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,13,5.0,0.056666666666666664,3,0,1,0,0,0,0
60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,8,7.0,0.0475,1,0,1,0,0,0,0
49,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,25,7.0,0.011666666666666667,3,0,1,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,16,7.0,0.06277777777777778,1,0,1,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,13,5.0,0.012222222222222223,9,0,1,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,24,7.0,0.0030555555555555557,1,0,1,0,0,0,0
57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,19,11.0,0.027777777777777776,1,0,1,0,0,0,0
50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,5,6.0,0.025277777777777777,1,0,1,0,0,0,0
39,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,29,5.0,0.012777777777777779,1,0,1,0,0,0,0
34,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,5,2.0,0.0275,1,3,0,0,1,0,0
38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,6,6.0,0.0525,3,0,1,0,0,0,0
30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,5,5.0,0.06583333333333333,1,4,0,0,0,1,0
28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,20,4.0,0.07694444444444444,1,0,1,0,0,0,0
31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,22,8.0,0.08972222222222222,3,0,1,0,0,0,0
32,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,21,5.0,0.135,2,0,1,0,0,0,0
28,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,16,11.0,0.12472222222222222,2,4,0,0,1,0,1
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,15,7.0,0.035833333333333335,2,0,1,0,0,0,0
48,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,4,5.0,0.11444444444444445,5,2,0,0,1,0,1
30,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,7,8.0,0.03277777777777778,2,0,1,0,0,0,0
46,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,6,8.0,0.13111111111111112,1,0,1,0,0,0,0
